testdata,packed_item_count,SU
dataset_episode_012,21,0.5320
dataset_episode_040,22,0.4180
dataset_episode_051,25,0.4920
dataset_episode_068,20,0.4730
dataset_episode_1105,28,0.4710
dataset_episode_1163,24,0.4090
dataset_episode_1250,23,0.4370
dataset_episode_131,27,0.5180
dataset_episode_1340,23,0.4640
dataset_episode_1463,23,0.6370
dataset_episode_1588,23,0.5240
dataset_episode_1623,20,0.6090
dataset_episode_1685,19,0.5090
dataset_episode_1725,24,0.4920
dataset_episode_173,24,0.4940
dataset_episode_1821,21,0.3700
dataset_episode_1956,23,0.5110
dataset_episode_202,18,0.4690
dataset_episode_2080,21,0.4960
dataset_episode_2151,27,0.5010
dataset_episode_2230,26,0.3960
dataset_episode_2413,25,0.4600
dataset_episode_2596,22,0.4950
dataset_episode_261,27,0.4720
dataset_episode_2632,25,0.4130
dataset_episode_2708,26,0.4030
dataset_episode_2731,27,0.4190
dataset_episode_2788,25,0.4280
dataset_episode_2814,20,0.4480
dataset_episode_285,15,0.4100
dataset_episode_2909,23,0.5730
dataset_episode_2943,27,0.4490
dataset_episode_2983,21,0.5570
dataset_episode_2989,21,0.5260
dataset_episode_2999,22,0.4450
dataset_episode_313,18,0.5170
dataset_episode_327,18,0.4920
dataset_episode_367,31,0.4960
dataset_episode_488,20,0.5900
dataset_episode_497,23,0.3690
dataset_episode_534,23,0.6080
dataset_episode_590,23,0.4240
dataset_episode_613,29,0.4030
dataset_episode_653,22,0.4970
dataset_episode_741,24,0.5110
dataset_episode_785,20,0.6530
dataset_episode_824,21,0.4490
dataset_episode_858,24,0.4500
dataset_episode_870,19,0.4500
dataset_episode_971,22,0.5570

__MEAN__,22.900,0.4837
__STD__,3.157,0.0661
