testdata,packed_item_count,SU
dataset_episode_012,17,0.3250
dataset_episode_040,13,0.2740
dataset_episode_051,15,0.2770
dataset_episode_068,12,0.1740
dataset_episode_1105,14,0.2500
dataset_episode_1163,16,0.2750
dataset_episode_1250,12,0.1840
dataset_episode_131,12,0.3330
dataset_episode_1340,15,0.1830
dataset_episode_1463,11,0.3490
dataset_episode_1588,14,0.4470
dataset_episode_1623,14,0.4340
dataset_episode_1685,14,0.5090
dataset_episode_1725,14,0.2540
dataset_episode_173,14,0.4220
dataset_episode_1821,11,0.2840
dataset_episode_1956,17,0.2740
dataset_episode_202,13,0.3570
dataset_episode_2080,15,0.1970
dataset_episode_2151,20,0.3330
dataset_episode_2230,16,0.3190
dataset_episode_2413,16,0.3080
dataset_episode_2596,12,0.2770
dataset_episode_261,18,0.3150
dataset_episode_2632,16,0.3390
dataset_episode_2708,13,0.2640
dataset_episode_2731,15,0.2130
dataset_episode_2788,12,0.1920
dataset_episode_2814,14,0.2730
dataset_episode_285,17,0.3900
dataset_episode_2909,10,0.3510
dataset_episode_2943,18,0.3330
dataset_episode_2983,16,0.4350
dataset_episode_2989,10,0.1970
dataset_episode_2999,11,0.2490
dataset_episode_313,13,0.3910
dataset_episode_327,13,0.3060
dataset_episode_367,15,0.2660
dataset_episode_488,14,0.3240
dataset_episode_497,10,0.1580
dataset_episode_534,12,0.4740
dataset_episode_590,11,0.3100
dataset_episode_613,15,0.3840
dataset_episode_653,11,0.2510
dataset_episode_741,13,0.2660
dataset_episode_785,9,0.3030
dataset_episode_824,14,0.3220
dataset_episode_858,11,0.2130
dataset_episode_870,13,0.1850
dataset_episode_971,12,0.2150

__MEAN__,13.660,0.2992
__STD__,2.379,0.0826
