testdata,packed_item_count,SU
dataset_episode_012,20,0.5680
dataset_episode_040,24,0.4440
dataset_episode_051,27,0.4500
dataset_episode_068,22,0.4050
dataset_episode_1105,24,0.4290
dataset_episode_1163,25,0.5020
dataset_episode_1250,22,0.4460
dataset_episode_131,22,0.4630
dataset_episode_1340,24,0.4530
dataset_episode_1463,22,0.5670
dataset_episode_1588,21,0.5410
dataset_episode_1623,21,0.6200
dataset_episode_1685,20,0.5730
dataset_episode_1725,28,0.4790
dataset_episode_173,23,0.5110
dataset_episode_1821,19,0.4570
dataset_episode_1956,21,0.5110
dataset_episode_202,22,0.4760
dataset_episode_2080,27,0.4460
dataset_episode_2151,33,0.4920
dataset_episode_2230,24,0.4760
dataset_episode_2413,27,0.4830
dataset_episode_2596,20,0.4770
dataset_episode_261,27,0.4840
dataset_episode_2632,24,0.5120
dataset_episode_2708,24,0.4730
dataset_episode_2731,22,0.4860
dataset_episode_2788,21,0.4600
dataset_episode_2814,22,0.4810
dataset_episode_285,23,0.5230
dataset_episode_2909,23,0.4360
dataset_episode_2943,25,0.4590
dataset_episode_2983,24,0.5530
dataset_episode_2989,22,0.4690
dataset_episode_2999,25,0.4270
dataset_episode_313,20,0.5700
dataset_episode_327,21,0.4350
dataset_episode_367,25,0.4840
dataset_episode_488,26,0.5090
dataset_episode_497,27,0.4940
dataset_episode_534,20,0.4920
dataset_episode_590,24,0.5030
dataset_episode_613,23,0.5600
dataset_episode_653,18,0.4940
dataset_episode_741,21,0.3260
dataset_episode_785,19,0.5040
dataset_episode_824,25,0.5550
dataset_episode_858,21,0.5400
dataset_episode_870,28,0.4480
dataset_episode_971,22,0.4130

__MEAN__,23.200,0.4872
__STD__,2.871,0.0521
