testdata,packed_item_count,SU
dataset_episode_012,13,0.2460
dataset_episode_040,16,0.2740
dataset_episode_051,11,0.2730
dataset_episode_068,14,0.3280
dataset_episode_1105,11,0.2270
dataset_episode_1163,16,0.3540
dataset_episode_1250,14,0.3290
dataset_episode_131,13,0.3340
dataset_episode_1340,15,0.1690
dataset_episode_1463,17,0.5250
dataset_episode_1588,14,0.3120
dataset_episode_1623,17,0.4580
dataset_episode_1685,16,0.2870
dataset_episode_1725,18,0.2840
dataset_episode_173,12,0.2160
dataset_episode_1821,13,0.2140
dataset_episode_1956,11,0.2780
dataset_episode_202,12,0.3140
dataset_episode_2080,13,0.1750
dataset_episode_2151,14,0.2450
dataset_episode_2230,14,0.2270
dataset_episode_2413,15,0.2430
dataset_episode_2596,17,0.3260
dataset_episode_261,14,0.3120
dataset_episode_2632,11,0.1900
dataset_episode_2708,9,0.1840
dataset_episode_2731,17,0.2570
dataset_episode_2788,12,0.2000
dataset_episode_2814,11,0.1450
dataset_episode_285,13,0.4360
dataset_episode_2909,14,0.3500
dataset_episode_2943,12,0.2290
dataset_episode_2983,17,0.2440
dataset_episode_2989,11,0.2300
dataset_episode_2999,13,0.3030
dataset_episode_313,16,0.3710
dataset_episode_327,10,0.3040
dataset_episode_367,14,0.2410
dataset_episode_488,13,0.2770
dataset_episode_497,15,0.2040
dataset_episode_534,13,0.2920
dataset_episode_590,12,0.2170
dataset_episode_613,14,0.2480
dataset_episode_653,15,0.2900
dataset_episode_741,14,0.2430
dataset_episode_785,15,0.2820
dataset_episode_824,15,0.3160
dataset_episode_858,13,0.2060
dataset_episode_870,11,0.1590
dataset_episode_971,12,0.2290

__MEAN__,13.640,0.2719
__STD__,2.087,0.0747
