testdata,packed_item_count,SU
dataset_episode_012,24,0.3700
dataset_episode_040,27,0.4010
dataset_episode_051,24,0.4130
dataset_episode_068,23,0.5320
dataset_episode_1105,27,0.4060
dataset_episode_1163,28,0.6610
dataset_episode_1250,23,0.6150
dataset_episode_131,21,0.5650
dataset_episode_1340,26,0.4480
dataset_episode_1463,24,0.6850
dataset_episode_1588,18,0.4760
dataset_episode_1623,21,0.5950
dataset_episode_1685,21,0.5760
dataset_episode_1725,26,0.4610
dataset_episode_173,22,0.4820
dataset_episode_1821,30,0.3920
dataset_episode_1956,27,0.5400
dataset_episode_202,18,0.4680
dataset_episode_2080,26,0.5180
dataset_episode_2151,30,0.6000
dataset_episode_2230,24,0.4300
dataset_episode_2413,27,0.4320
dataset_episode_2596,23,0.5300
dataset_episode_261,24,0.4570
dataset_episode_2632,28,0.4370
dataset_episode_2708,20,0.4980
dataset_episode_2731,23,0.5280
dataset_episode_2788,26,0.5090
dataset_episode_2814,26,0.5700
dataset_episode_285,25,0.5040
dataset_episode_2909,27,0.5300
dataset_episode_2943,23,0.3990
dataset_episode_2983,22,0.4460
dataset_episode_2989,27,0.4680
dataset_episode_2999,26,0.4990
dataset_episode_313,29,0.4940
dataset_episode_327,25,0.5650
dataset_episode_367,23,0.4370
dataset_episode_488,22,0.4680
dataset_episode_497,20,0.4760
dataset_episode_534,26,0.5500
dataset_episode_590,24,0.4300
dataset_episode_613,27,0.4560
dataset_episode_653,25,0.4950
dataset_episode_741,22,0.5860
dataset_episode_785,21,0.4050
dataset_episode_824,17,0.4160
dataset_episode_858,21,0.4380
dataset_episode_870,24,0.5280
dataset_episode_971,23,0.4910

__MEAN__,24.120,0.4935
__STD__,3.008,0.0712
