testdata,packed_item_count,SU
dataset_episode_012,27,0.6650
dataset_episode_040,35,0.6890
dataset_episode_051,23,0.5590
dataset_episode_068,28,0.5780
dataset_episode_1105,28,0.4770
dataset_episode_1163,31,0.6240
dataset_episode_1250,21,0.4470
dataset_episode_131,19,0.5560
dataset_episode_1340,24,0.5220
dataset_episode_1463,27,0.7200
dataset_episode_1588,23,0.5360
dataset_episode_1623,15,0.5260
dataset_episode_1685,22,0.6760
dataset_episode_1725,23,0.5180
dataset_episode_173,23,0.4730
dataset_episode_1821,25,0.5510
dataset_episode_1956,22,0.5400
dataset_episode_202,22,0.6710
dataset_episode_2080,26,0.6190
dataset_episode_2151,26,0.5240
dataset_episode_2230,29,0.5960
dataset_episode_2413,34,0.6120
dataset_episode_2596,19,0.5420
dataset_episode_261,29,0.6170
dataset_episode_2632,22,0.4840
dataset_episode_2708,22,0.5760
dataset_episode_2731,23,0.5270
dataset_episode_2788,25,0.5770
dataset_episode_2814,28,0.5970
dataset_episode_285,21,0.5750
dataset_episode_2909,29,0.6240
dataset_episode_2943,26,0.5540
dataset_episode_2983,30,0.6680
dataset_episode_2989,27,0.5080
dataset_episode_2999,26,0.6150
dataset_episode_313,30,0.7600
dataset_episode_327,15,0.4250
dataset_episode_367,25,0.6230
dataset_episode_488,26,0.5990
dataset_episode_497,30,0.5900
dataset_episode_534,28,0.7100
dataset_episode_590,19,0.3980
dataset_episode_613,29,0.6680
dataset_episode_653,20,0.6120
dataset_episode_741,23,0.5240
dataset_episode_785,25,0.8400
dataset_episode_824,24,0.4810
dataset_episode_858,24,0.6060
dataset_episode_870,22,0.5480
dataset_episode_971,26,0.6210

__MEAN__,24.920,0.5830
__STD__,4.179,0.0848
