testdata,packed_item_count,SU
dataset_episode_012,22,0.5370
dataset_episode_040,20,0.3980
dataset_episode_051,19,0.4590
dataset_episode_068,18,0.4180
dataset_episode_1105,28,0.4770
dataset_episode_1163,26,0.4710
dataset_episode_1250,23,0.4790
dataset_episode_131,24,0.5560
dataset_episode_1340,17,0.2680
dataset_episode_1463,19,0.5140
dataset_episode_1588,20,0.4390
dataset_episode_1623,15,0.5260
dataset_episode_1685,16,0.4920
dataset_episode_1725,23,0.4980
dataset_episode_173,19,0.3960
dataset_episode_1821,24,0.4910
dataset_episode_1956,26,0.4890
dataset_episode_202,19,0.6090
dataset_episode_2080,25,0.5360
dataset_episode_2151,20,0.3620
dataset_episode_2230,22,0.4030
dataset_episode_2413,21,0.4170
dataset_episode_2596,18,0.5180
dataset_episode_261,22,0.4960
dataset_episode_2632,14,0.3490
dataset_episode_2708,21,0.4930
dataset_episode_2731,18,0.3410
dataset_episode_2788,16,0.3360
dataset_episode_2814,26,0.4770
dataset_episode_285,17,0.4670
dataset_episode_2909,27,0.5740
dataset_episode_2943,27,0.5640
dataset_episode_2983,21,0.3890
dataset_episode_2989,18,0.2520
dataset_episode_2999,15,0.3510
dataset_episode_313,15,0.4000
dataset_episode_327,22,0.6160
dataset_episode_367,25,0.6090
dataset_episode_488,19,0.3990
dataset_episode_497,28,0.5140
dataset_episode_534,18,0.4070
dataset_episode_590,24,0.5750
dataset_episode_613,21,0.4470
dataset_episode_653,20,0.5070
dataset_episode_741,23,0.4890
dataset_episode_785,19,0.6110
dataset_episode_824,17,0.3270
dataset_episode_858,23,0.5900
dataset_episode_870,21,0.5030
dataset_episode_971,25,0.5210

__MEAN__,20.920,0.4671
__STD__,3.691,0.0887
