testdata,packed_item_count,SU
dataset_episode_012,31,0.7680
dataset_episode_040,36,0.6810
dataset_episode_051,26,0.6120
dataset_episode_068,34,0.7740
dataset_episode_1105,37,0.7450
dataset_episode_1163,34,0.6920
dataset_episode_1250,34,0.7580
dataset_episode_131,30,0.7770
dataset_episode_1340,30,0.6460
dataset_episode_1463,29,0.8240
dataset_episode_1588,27,0.6760
dataset_episode_1623,29,0.8080
dataset_episode_1685,28,0.7850
dataset_episode_1725,37,0.7720
dataset_episode_173,36,0.8490
dataset_episode_1821,33,0.7480
dataset_episode_1956,35,0.7620
dataset_episode_202,23,0.6750
dataset_episode_2080,39,0.8390
dataset_episode_2151,41,0.7710
dataset_episode_2230,36,0.8100
dataset_episode_2413,40,0.8020
dataset_episode_2596,27,0.7020
dataset_episode_261,30,0.6770
dataset_episode_2632,29,0.7370
dataset_episode_2708,27,0.7510
dataset_episode_2731,35,0.7670
dataset_episode_2788,34,0.7680
dataset_episode_2814,32,0.6740
dataset_episode_285,29,0.7360
dataset_episode_2909,39,0.8110
dataset_episode_2943,36,0.7460
dataset_episode_2983,33,0.7000
dataset_episode_2989,41,0.8120
dataset_episode_2999,28,0.7100
dataset_episode_313,24,0.6530
dataset_episode_327,22,0.6770
dataset_episode_367,34,0.7860
dataset_episode_488,28,0.6730
dataset_episode_497,39,0.7240
dataset_episode_534,27,0.6650
dataset_episode_590,27,0.6950
dataset_episode_613,32,0.7530
dataset_episode_653,24,0.7000
dataset_episode_741,27,0.6840
dataset_episode_785,26,0.8200
dataset_episode_824,31,0.7340
dataset_episode_858,34,0.7410
dataset_episode_870,28,0.6660
dataset_episode_971,26,0.6040

__MEAN__,31.480,0.7348
__STD__,4.946,0.0596
