testdata,packed_item_count,SU
dataset_episode_012,22,0.5920
dataset_episode_040,28,0.6050
dataset_episode_051,25,0.7020
dataset_episode_068,16,0.4650
dataset_episode_1105,29,0.5720
dataset_episode_1163,23,0.4100
dataset_episode_1250,17,0.3630
dataset_episode_131,17,0.5340
dataset_episode_1340,25,0.5520
dataset_episode_1463,12,0.4120
dataset_episode_1588,21,0.5390
dataset_episode_1623,16,0.5860
dataset_episode_1685,14,0.4120
dataset_episode_1725,18,0.3740
dataset_episode_173,21,0.4810
dataset_episode_1821,21,0.4910
dataset_episode_1956,11,0.3170
dataset_episode_202,17,0.5820
dataset_episode_2080,19,0.5370
dataset_episode_2151,6,0.1020
dataset_episode_2230,24,0.4780
dataset_episode_2413,23,0.4940
dataset_episode_2596,17,0.4540
dataset_episode_261,20,0.4800
dataset_episode_2632,12,0.2950
dataset_episode_2708,20,0.4790
dataset_episode_2731,19,0.4410
dataset_episode_2788,18,0.4200
dataset_episode_2814,29,0.6220
dataset_episode_285,23,0.6300
dataset_episode_2909,33,0.7190
dataset_episode_2943,26,0.5700
dataset_episode_2983,18,0.4340
dataset_episode_2989,19,0.3120
dataset_episode_2999,10,0.1810
dataset_episode_313,21,0.6620
dataset_episode_327,15,0.5410
dataset_episode_367,15,0.4830
dataset_episode_488,5,0.1980
dataset_episode_497,20,0.4260
dataset_episode_534,21,0.5400
dataset_episode_590,16,0.3060
dataset_episode_613,26,0.6150
dataset_episode_653,22,0.7320
dataset_episode_741,25,0.6190
dataset_episode_785,14,0.6180
dataset_episode_824,19,0.3970
dataset_episode_858,22,0.5820
dataset_episode_870,15,0.3960
dataset_episode_971,10,0.2080

__MEAN__,19.100,0.4792
__STD__,5.783,0.1407
