testdata,packed_item_count,SU
dataset_episode_012,22,0.5920
dataset_episode_040,22,0.4520
dataset_episode_051,15,0.4030
dataset_episode_068,16,0.4650
dataset_episode_1105,26,0.5360
dataset_episode_1163,14,0.2680
dataset_episode_1250,19,0.4430
dataset_episode_131,17,0.5340
dataset_episode_1340,20,0.4530
dataset_episode_1463,15,0.5720
dataset_episode_1588,24,0.6360
dataset_episode_1623,12,0.4690
dataset_episode_1685,14,0.4120
dataset_episode_1725,6,0.0710
dataset_episode_173,23,0.5050
dataset_episode_1821,21,0.4910
dataset_episode_1956,18,0.5030
dataset_episode_202,17,0.5820
dataset_episode_2080,19,0.5370
dataset_episode_2151,22,0.4730
dataset_episode_2230,25,0.5260
dataset_episode_2413,22,0.4620
dataset_episode_2596,17,0.4540
dataset_episode_261,25,0.6340
dataset_episode_2632,16,0.4140
dataset_episode_2708,23,0.5830
dataset_episode_2731,17,0.3290
dataset_episode_2788,27,0.6420
dataset_episode_2814,21,0.4740
dataset_episode_285,23,0.6300
dataset_episode_2909,12,0.3750
dataset_episode_2943,23,0.5100
dataset_episode_2983,18,0.4340
dataset_episode_2989,20,0.3870
dataset_episode_2999,12,0.2800
dataset_episode_313,22,0.6860
dataset_episode_327,15,0.5410
dataset_episode_367,25,0.6230
dataset_episode_488,23,0.5930
dataset_episode_497,20,0.4260
dataset_episode_534,23,0.5970
dataset_episode_590,16,0.3060
dataset_episode_613,26,0.6150
dataset_episode_653,20,0.6080
dataset_episode_741,25,0.6190
dataset_episode_785,14,0.6180
dataset_episode_824,21,0.4870
dataset_episode_858,22,0.5820
dataset_episode_870,23,0.5580
dataset_episode_971,15,0.3250

__MEAN__,19.460,0.4943
__STD__,4.523,0.1194
