testdata,packed_item_count,SU
dataset_episode_012,10,0.2320
dataset_episode_040,29,0.5630
dataset_episode_051,26,0.6120
dataset_episode_068,28,0.6460
dataset_episode_1105,31,0.5550
dataset_episode_1163,28,0.5510
dataset_episode_1250,17,0.3630
dataset_episode_131,26,0.5570
dataset_episode_1340,24,0.4520
dataset_episode_1463,27,0.6790
dataset_episode_1588,18,0.3890
dataset_episode_1623,29,0.7480
dataset_episode_1685,18,0.5520
dataset_episode_1725,23,0.4580
dataset_episode_173,25,0.5530
dataset_episode_1821,28,0.6370
dataset_episode_1956,28,0.6290
dataset_episode_202,20,0.6330
dataset_episode_2080,25,0.5360
dataset_episode_2151,29,0.6160
dataset_episode_2230,29,0.5960
dataset_episode_2413,21,0.4020
dataset_episode_2596,21,0.5710
dataset_episode_261,29,0.6470
dataset_episode_2632,23,0.5340
dataset_episode_2708,26,0.6810
dataset_episode_2731,23,0.4570
dataset_episode_2788,27,0.6330
dataset_episode_2814,23,0.4210
dataset_episode_285,27,0.7100
dataset_episode_2909,32,0.6660
dataset_episode_2943,21,0.4140
dataset_episode_2983,26,0.4540
dataset_episode_2989,29,0.5950
dataset_episode_2999,26,0.6350
dataset_episode_313,30,0.7350
dataset_episode_327,22,0.6770
dataset_episode_367,25,0.5960
dataset_episode_488,25,0.5590
dataset_episode_497,34,0.6680
dataset_episode_534,25,0.6000
dataset_episode_590,25,0.6150
dataset_episode_613,30,0.6980
dataset_episode_653,21,0.6320
dataset_episode_741,27,0.6590
dataset_episode_785,23,0.8080
dataset_episode_824,25,0.5290
dataset_episode_858,30,0.7080
dataset_episode_870,27,0.6260
dataset_episode_971,26,0.5810

__MEAN__,25.340,0.5814
__STD__,4.284,0.1104
