testdata,packed_item_count,SU
dataset_episode_012,29,0.7750
dataset_episode_040,35,0.7190
dataset_episode_051,25,0.7020
dataset_episode_068,30,0.7780
dataset_episode_1105,29,0.5720
dataset_episode_1163,33,0.7220
dataset_episode_1250,32,0.7710
dataset_episode_131,29,0.7670
dataset_episode_1340,26,0.6160
dataset_episode_1463,29,0.8240
dataset_episode_1588,28,0.7760
dataset_episode_1623,17,0.6660
dataset_episode_1685,20,0.6670
dataset_episode_1725,26,0.6130
dataset_episode_173,31,0.7020
dataset_episode_1821,27,0.6410
dataset_episode_1956,33,0.7770
dataset_episode_202,21,0.6930
dataset_episode_2080,28,0.6990
dataset_episode_2151,33,0.7070
dataset_episode_2230,31,0.6960
dataset_episode_2413,37,0.7520
dataset_episode_2596,19,0.5420
dataset_episode_261,31,0.7370
dataset_episode_2632,25,0.6190
dataset_episode_2708,24,0.6580
dataset_episode_2731,30,0.7570
dataset_episode_2788,27,0.6420
dataset_episode_2814,29,0.6220
dataset_episode_285,29,0.8400
dataset_episode_2909,35,0.7510
dataset_episode_2943,26,0.5700
dataset_episode_2983,31,0.7680
dataset_episode_2989,35,0.7570
dataset_episode_2999,28,0.7100
dataset_episode_313,26,0.8030
dataset_episode_327,17,0.6300
dataset_episode_367,29,0.7490
dataset_episode_488,29,0.7730
dataset_episode_497,34,0.7440
dataset_episode_534,28,0.7050
dataset_episode_590,27,0.7150
dataset_episode_613,26,0.6150
dataset_episode_653,20,0.6080
dataset_episode_741,26,0.7190
dataset_episode_785,23,0.8530
dataset_episode_824,29,0.7190
dataset_episode_858,20,0.5140
dataset_episode_870,26,0.6450
dataset_episode_971,34,0.8370

__MEAN__,27.840,0.7047
__STD__,4.731,0.0787
