testdata,packed_item_count,SU
dataset_episode_012,20,0.4000
dataset_episode_040,20,0.4090
dataset_episode_051,18,0.3660
dataset_episode_068,19,0.5230
dataset_episode_1105,20,0.3120
dataset_episode_1163,20,0.3690
dataset_episode_1250,18,0.3440
dataset_episode_131,20,0.4700
dataset_episode_1340,21,0.4220
dataset_episode_1463,21,0.6770
dataset_episode_1588,22,0.4250
dataset_episode_1623,22,0.4660
dataset_episode_1685,16,0.4110
dataset_episode_1725,21,0.3000
dataset_episode_173,25,0.4360
dataset_episode_1821,20,0.3050
dataset_episode_1956,20,0.4130
dataset_episode_202,15,0.3870
dataset_episode_2080,24,0.4940
dataset_episode_2151,23,0.4460
dataset_episode_2230,26,0.4070
dataset_episode_2413,23,0.3660
dataset_episode_2596,22,0.4730
dataset_episode_261,23,0.5030
dataset_episode_2632,24,0.3240
dataset_episode_2708,25,0.5470
dataset_episode_2731,31,0.4410
dataset_episode_2788,21,0.4000
dataset_episode_2814,22,0.3190
dataset_episode_285,19,0.4850
dataset_episode_2909,19,0.4620
dataset_episode_2943,20,0.4630
dataset_episode_2983,22,0.2840
dataset_episode_2989,29,0.5620
dataset_episode_2999,19,0.4090
dataset_episode_313,19,0.5480
dataset_episode_327,20,0.4810
dataset_episode_367,24,0.6260
dataset_episode_488,22,0.5110
dataset_episode_497,20,0.3760
dataset_episode_534,22,0.4860
dataset_episode_590,13,0.3440
dataset_episode_613,21,0.3050
dataset_episode_653,18,0.3160
dataset_episode_741,16,0.4190
dataset_episode_785,14,0.4800
dataset_episode_824,21,0.3650
dataset_episode_858,16,0.2600
dataset_episode_870,16,0.3360
dataset_episode_971,20,0.3970

__MEAN__,20.640,0.4214
__STD__,3.403,0.0883
