testdata,packed_item_count,SU
dataset_episode_012,20,0.4410
dataset_episode_040,27,0.4690
dataset_episode_051,27,0.4930
dataset_episode_068,23,0.4500
dataset_episode_1105,29,0.4780
dataset_episode_1163,25,0.4620
dataset_episode_1250,21,0.4290
dataset_episode_131,22,0.4450
dataset_episode_1340,25,0.4590
dataset_episode_1463,25,0.5220
dataset_episode_1588,18,0.4910
dataset_episode_1623,24,0.5990
dataset_episode_1685,18,0.4740
dataset_episode_1725,27,0.4850
dataset_episode_173,27,0.5450
dataset_episode_1821,22,0.5000
dataset_episode_1956,24,0.4230
dataset_episode_202,19,0.4170
dataset_episode_2080,26,0.5170
dataset_episode_2151,27,0.5570
dataset_episode_2230,23,0.3790
dataset_episode_2413,27,0.3840
dataset_episode_2596,24,0.5130
dataset_episode_261,24,0.5880
dataset_episode_2632,23,0.4900
dataset_episode_2708,24,0.3990
dataset_episode_2731,27,0.4800
dataset_episode_2788,24,0.4670
dataset_episode_2814,26,0.4580
dataset_episode_285,18,0.5140
dataset_episode_2909,26,0.5290
dataset_episode_2943,26,0.4730
dataset_episode_2983,27,0.5400
dataset_episode_2989,25,0.4430
dataset_episode_2999,25,0.4800
dataset_episode_313,24,0.4310
dataset_episode_327,23,0.4680
dataset_episode_367,30,0.5200
dataset_episode_488,21,0.6150
dataset_episode_497,24,0.3700
dataset_episode_534,25,0.6560
dataset_episode_590,20,0.4540
dataset_episode_613,30,0.4100
dataset_episode_653,24,0.4550
dataset_episode_741,23,0.4390
dataset_episode_785,18,0.5210
dataset_episode_824,24,0.3870
dataset_episode_858,27,0.5270
dataset_episode_870,23,0.5250
dataset_episode_971,30,0.5600

__MEAN__,24.220,0.4826
__STD__,3.086,0.0614
