testdata,packed_item_count,SU
dataset_episode_012,14,0.3090
dataset_episode_040,15,0.2980
dataset_episode_051,12,0.1420
dataset_episode_068,12,0.1860
dataset_episode_1105,19,0.3350
dataset_episode_1163,11,0.1570
dataset_episode_1250,13,0.1540
dataset_episode_131,11,0.2570
dataset_episode_1340,11,0.2070
dataset_episode_1463,17,0.3330
dataset_episode_1588,13,0.4060
dataset_episode_1623,9,0.3810
dataset_episode_1685,12,0.2100
dataset_episode_1725,13,0.2670
dataset_episode_173,9,0.1080
dataset_episode_1821,15,0.2320
dataset_episode_1956,15,0.2630
dataset_episode_202,11,0.2710
dataset_episode_2080,15,0.2610
dataset_episode_2151,14,0.1430
dataset_episode_2230,14,0.1930
dataset_episode_2413,19,0.2500
dataset_episode_2596,12,0.2890
dataset_episode_261,14,0.2860
dataset_episode_2632,13,0.2760
dataset_episode_2708,15,0.3480
dataset_episode_2731,11,0.2210
dataset_episode_2788,17,0.3620
dataset_episode_2814,12,0.2000
dataset_episode_285,16,0.4280
dataset_episode_2909,10,0.1950
dataset_episode_2943,16,0.3000
dataset_episode_2983,14,0.1220
dataset_episode_2989,15,0.1580
dataset_episode_2999,13,0.2330
dataset_episode_313,12,0.4040
dataset_episode_327,14,0.3370
dataset_episode_367,16,0.3250
dataset_episode_488,19,0.2450
dataset_episode_497,15,0.2930
dataset_episode_534,17,0.2800
dataset_episode_590,14,0.2880
dataset_episode_613,14,0.3170
dataset_episode_653,15,0.3150
dataset_episode_741,13,0.2400
dataset_episode_785,11,0.3220
dataset_episode_824,15,0.3410
dataset_episode_858,13,0.2150
dataset_episode_870,15,0.1390
dataset_episode_971,17,0.2330

__MEAN__,13.840,0.2615
__STD__,2.402,0.0778
