testdata,packed_item_count,SU
dataset_episode_012,22,0.5920
dataset_episode_040,22,0.4520
dataset_episode_051,19,0.6130
dataset_episode_068,16,0.4650
dataset_episode_1105,26,0.5360
dataset_episode_1163,23,0.4100
dataset_episode_1250,15,0.3170
dataset_episode_131,16,0.4340
dataset_episode_1340,25,0.5520
dataset_episode_1463,21,0.6590
dataset_episode_1588,22,0.5640
dataset_episode_1623,12,0.4690
dataset_episode_1685,17,0.5670
dataset_episode_1725,6,0.0710
dataset_episode_173,19,0.4160
dataset_episode_1821,19,0.4290
dataset_episode_1956,11,0.3170
dataset_episode_202,21,0.6930
dataset_episode_2080,25,0.6150
dataset_episode_2151,24,0.5060
dataset_episode_2230,18,0.3830
dataset_episode_2413,22,0.4620
dataset_episode_2596,9,0.2410
dataset_episode_261,20,0.4800
dataset_episode_2632,9,0.1810
dataset_episode_2708,20,0.4790
dataset_episode_2731,19,0.4410
dataset_episode_2788,20,0.4750
dataset_episode_2814,16,0.3940
dataset_episode_285,17,0.4670
dataset_episode_2909,27,0.5740
dataset_episode_2943,24,0.5220
dataset_episode_2983,7,0.1120
dataset_episode_2989,24,0.4770
dataset_episode_2999,14,0.3400
dataset_episode_313,15,0.4630
dataset_episode_327,15,0.5410
dataset_episode_367,24,0.5910
dataset_episode_488,23,0.5930
dataset_episode_497,18,0.3770
dataset_episode_534,23,0.5970
dataset_episode_590,21,0.5130
dataset_episode_613,17,0.4380
dataset_episode_653,12,0.3780
dataset_episode_741,18,0.4790
dataset_episode_785,14,0.6180
dataset_episode_824,19,0.3970
dataset_episode_858,19,0.4540
dataset_episode_870,23,0.5580
dataset_episode_971,23,0.5360

__MEAN__,18.620,0.4648
__STD__,4.998,0.1283
