testdata,packed_item_count,SU
dataset_episode_012,22,0.5920
dataset_episode_040,31,0.6310
dataset_episode_051,25,0.7020
dataset_episode_068,16,0.4650
dataset_episode_1105,30,0.6170
dataset_episode_1163,27,0.5030
dataset_episode_1250,19,0.4430
dataset_episode_131,16,0.4340
dataset_episode_1340,19,0.3530
dataset_episode_1463,21,0.6590
dataset_episode_1588,25,0.6960
dataset_episode_1623,16,0.5860
dataset_episode_1685,20,0.6670
dataset_episode_1725,24,0.5380
dataset_episode_173,23,0.5050
dataset_episode_1821,21,0.4910
dataset_episode_1956,11,0.3170
dataset_episode_202,20,0.6690
dataset_episode_2080,28,0.6990
dataset_episode_2151,24,0.5060
dataset_episode_2230,30,0.6460
dataset_episode_2413,34,0.6550
dataset_episode_2596,17,0.4540
dataset_episode_261,28,0.6650
dataset_episode_2632,24,0.5690
dataset_episode_2708,22,0.5430
dataset_episode_2731,17,0.3290
dataset_episode_2788,25,0.5860
dataset_episode_2814,29,0.6220
dataset_episode_285,23,0.6300
dataset_episode_2909,35,0.7510
dataset_episode_2943,26,0.5700
dataset_episode_2983,23,0.6140
dataset_episode_2989,26,0.5530
dataset_episode_2999,17,0.4560
dataset_episode_313,20,0.5870
dataset_episode_327,17,0.6300
dataset_episode_367,31,0.8140
dataset_episode_488,23,0.5930
dataset_episode_497,20,0.4260
dataset_episode_534,23,0.5970
dataset_episode_590,22,0.5530
dataset_episode_613,26,0.6150
dataset_episode_653,23,0.7560
dataset_episode_741,25,0.6190
dataset_episode_785,14,0.6180
dataset_episode_824,19,0.3970
dataset_episode_858,22,0.5820
dataset_episode_870,23,0.5580
dataset_episode_971,16,0.3500

__MEAN__,22.760,0.5682
__STD__,5.145,0.1120
