testdata,packed_item_count,SU
dataset_episode_012,20,0.4760
dataset_episode_040,24,0.4480
dataset_episode_051,23,0.5570
dataset_episode_068,18,0.4180
dataset_episode_1105,22,0.4370
dataset_episode_1163,25,0.4430
dataset_episode_1250,25,0.5970
dataset_episode_131,19,0.4660
dataset_episode_1340,21,0.3960
dataset_episode_1463,19,0.5140
dataset_episode_1588,21,0.4710
dataset_episode_1623,14,0.4810
dataset_episode_1685,14,0.4270
dataset_episode_1725,24,0.4830
dataset_episode_173,21,0.4810
dataset_episode_1821,24,0.5330
dataset_episode_1956,24,0.4790
dataset_episode_202,18,0.5850
dataset_episode_2080,25,0.5800
dataset_episode_2151,20,0.3770
dataset_episode_2230,23,0.4480
dataset_episode_2413,20,0.3870
dataset_episode_2596,19,0.5020
dataset_episode_261,13,0.3190
dataset_episode_2632,13,0.2990
dataset_episode_2708,20,0.4590
dataset_episode_2731,23,0.5270
dataset_episode_2788,19,0.4450
dataset_episode_2814,26,0.4770
dataset_episode_285,17,0.4670
dataset_episode_2909,25,0.5380
dataset_episode_2943,17,0.3740
dataset_episode_2983,26,0.5430
dataset_episode_2989,20,0.2930
dataset_episode_2999,10,0.1810
dataset_episode_313,18,0.5070
dataset_episode_327,13,0.3800
dataset_episode_367,14,0.4430
dataset_episode_488,19,0.3990
dataset_episode_497,27,0.4690
dataset_episode_534,15,0.3780
dataset_episode_590,24,0.5950
dataset_episode_613,19,0.4300
dataset_episode_653,21,0.5310
dataset_episode_741,23,0.5240
dataset_episode_785,19,0.6110
dataset_episode_824,19,0.3770
dataset_episode_858,20,0.4920
dataset_episode_870,20,0.4530
dataset_episode_971,14,0.2450

__MEAN__,19.940,0.4548
__STD__,4.038,0.0893
