testdata,packed_item_count,SU
dataset_episode_012,10,0.2320
dataset_episode_040,20,0.3620
dataset_episode_051,23,0.5610
dataset_episode_068,6,0.1850
dataset_episode_1105,27,0.4320
dataset_episode_1163,26,0.5030
dataset_episode_1250,21,0.4470
dataset_episode_131,15,0.3740
dataset_episode_1340,24,0.4520
dataset_episode_1463,19,0.5140
dataset_episode_1588,18,0.3390
dataset_episode_1623,14,0.4810
dataset_episode_1685,15,0.4470
dataset_episode_1725,19,0.4160
dataset_episode_173,24,0.5130
dataset_episode_1821,25,0.5650
dataset_episode_1956,27,0.5290
dataset_episode_202,18,0.5290
dataset_episode_2080,23,0.5250
dataset_episode_2151,22,0.4060
dataset_episode_2230,26,0.4910
dataset_episode_2413,21,0.4340
dataset_episode_2596,17,0.4540
dataset_episode_261,26,0.5570
dataset_episode_2632,14,0.3390
dataset_episode_2708,21,0.4850
dataset_episode_2731,15,0.2610
dataset_episode_2788,14,0.2890
dataset_episode_2814,19,0.3340
dataset_episode_285,21,0.5700
dataset_episode_2909,28,0.5990
dataset_episode_2943,27,0.5640
dataset_episode_2983,21,0.4590
dataset_episode_2989,22,0.3570
dataset_episode_2999,10,0.1810
dataset_episode_313,20,0.5710
dataset_episode_327,22,0.5820
dataset_episode_367,20,0.5170
dataset_episode_488,20,0.4490
dataset_episode_497,18,0.3510
dataset_episode_534,19,0.4350
dataset_episode_590,19,0.3980
dataset_episode_613,25,0.5550
dataset_episode_653,18,0.5640
dataset_episode_741,23,0.4590
dataset_episode_785,12,0.4630
dataset_episode_824,24,0.5160
dataset_episode_858,23,0.5900
dataset_episode_870,15,0.3610
dataset_episode_971,17,0.4020

__MEAN__,19.860,0.4480
__STD__,4.899,0.1052
