testdata,packed_item_count,SU
dataset_episode_012,24,0.6590
dataset_episode_040,35,0.6890
dataset_episode_051,26,0.7190
dataset_episode_068,26,0.5380
dataset_episode_1105,28,0.5120
dataset_episode_1163,22,0.3780
dataset_episode_1250,29,0.6030
dataset_episode_131,20,0.5660
dataset_episode_1340,24,0.5160
dataset_episode_1463,27,0.7240
dataset_episode_1588,22,0.4760
dataset_episode_1623,15,0.4860
dataset_episode_1685,19,0.6190
dataset_episode_1725,22,0.4780
dataset_episode_173,29,0.6020
dataset_episode_1821,25,0.5810
dataset_episode_1956,29,0.5760
dataset_episode_202,24,0.7450
dataset_episode_2080,26,0.6190
dataset_episode_2151,22,0.4060
dataset_episode_2230,29,0.6010
dataset_episode_2413,34,0.6000
dataset_episode_2596,22,0.5970
dataset_episode_261,26,0.5870
dataset_episode_2632,14,0.3390
dataset_episode_2708,26,0.6810
dataset_episode_2731,24,0.4970
dataset_episode_2788,25,0.5860
dataset_episode_2814,30,0.6540
dataset_episode_285,24,0.6620
dataset_episode_2909,34,0.6260
dataset_episode_2943,24,0.5220
dataset_episode_2983,30,0.6930
dataset_episode_2989,36,0.7190
dataset_episode_2999,19,0.4650
dataset_episode_313,24,0.6880
dataset_episode_327,22,0.5660
dataset_episode_367,27,0.6340
dataset_episode_488,25,0.5590
dataset_episode_497,33,0.6440
dataset_episode_534,27,0.6650
dataset_episode_590,23,0.5590
dataset_episode_613,26,0.5750
dataset_episode_653,21,0.5310
dataset_episode_741,27,0.6040
dataset_episode_785,24,0.8160
dataset_episode_824,31,0.7340
dataset_episode_858,23,0.5550
dataset_episode_870,21,0.5180
dataset_episode_971,23,0.5270

__MEAN__,25.360,0.5899
__STD__,4.619,0.0961
