testdata,packed_item_count,SU
dataset_episode_012,22,0.6170
dataset_episode_040,18,0.3180
dataset_episode_051,13,0.2590
dataset_episode_068,25,0.5230
dataset_episode_1105,28,0.4920
dataset_episode_1163,21,0.3500
dataset_episode_1250,21,0.4470
dataset_episode_131,14,0.3720
dataset_episode_1340,23,0.4620
dataset_episode_1463,21,0.5650
dataset_episode_1588,23,0.5360
dataset_episode_1623,22,0.6430
dataset_episode_1685,11,0.2850
dataset_episode_1725,22,0.4130
dataset_episode_173,24,0.5780
dataset_episode_1821,24,0.5590
dataset_episode_1956,16,0.3690
dataset_episode_202,14,0.4320
dataset_episode_2080,13,0.3050
dataset_episode_2151,19,0.3020
dataset_episode_2230,16,0.3230
dataset_episode_2413,20,0.3870
dataset_episode_2596,22,0.6160
dataset_episode_261,23,0.5260
dataset_episode_2632,22,0.4940
dataset_episode_2708,21,0.4950
dataset_episode_2731,18,0.3460
dataset_episode_2788,21,0.4830
dataset_episode_2814,19,0.3340
dataset_episode_285,21,0.5700
dataset_episode_2909,20,0.4760
dataset_episode_2943,24,0.4780
dataset_episode_2983,20,0.3590
dataset_episode_2989,25,0.5170
dataset_episode_2999,12,0.2400
dataset_episode_313,18,0.5070
dataset_episode_327,15,0.4250
dataset_episode_367,22,0.5280
dataset_episode_488,19,0.4250
dataset_episode_497,23,0.4260
dataset_episode_534,15,0.3320
dataset_episode_590,24,0.5200
dataset_episode_613,21,0.4750
dataset_episode_653,20,0.5070
dataset_episode_741,23,0.4840
dataset_episode_785,12,0.4630
dataset_episode_824,20,0.4070
dataset_episode_858,17,0.3640
dataset_episode_870,19,0.4480
dataset_episode_971,23,0.4520

__MEAN__,19.780,0.4447
__STD__,3.903,0.0977
