testdata,packed_item_count,SU
dataset_episode_012,24,0.6030
dataset_episode_040,26,0.5480
dataset_episode_051,25,0.5820
dataset_episode_068,28,0.6380
dataset_episode_1105,31,0.5750
dataset_episode_1163,22,0.3780
dataset_episode_1250,23,0.4830
dataset_episode_131,20,0.5660
dataset_episode_1340,23,0.4160
dataset_episode_1463,21,0.6570
dataset_episode_1588,21,0.4600
dataset_episode_1623,14,0.4810
dataset_episode_1685,22,0.6760
dataset_episode_1725,27,0.5890
dataset_episode_173,24,0.5840
dataset_episode_1821,25,0.5410
dataset_episode_1956,24,0.5540
dataset_episode_202,23,0.6950
dataset_episode_2080,25,0.5440
dataset_episode_2151,23,0.4700
dataset_episode_2230,23,0.4480
dataset_episode_2413,34,0.6400
dataset_episode_2596,23,0.6450
dataset_episode_261,29,0.6290
dataset_episode_2632,14,0.3390
dataset_episode_2708,22,0.5330
dataset_episode_2731,24,0.4970
dataset_episode_2788,27,0.6330
dataset_episode_2814,28,0.6570
dataset_episode_285,21,0.5940
dataset_episode_2909,28,0.6130
dataset_episode_2943,24,0.5260
dataset_episode_2983,21,0.4690
dataset_episode_2989,35,0.6870
dataset_episode_2999,12,0.2400
dataset_episode_313,22,0.6480
dataset_episode_327,24,0.6750
dataset_episode_367,25,0.6180
dataset_episode_488,19,0.4250
dataset_episode_497,32,0.6240
dataset_episode_534,17,0.4050
dataset_episode_590,19,0.3980
dataset_episode_613,29,0.6680
dataset_episode_653,21,0.5310
dataset_episode_741,27,0.6040
dataset_episode_785,19,0.6360
dataset_episode_824,28,0.6710
dataset_episode_858,20,0.4920
dataset_episode_870,22,0.5330
dataset_episode_971,14,0.2450

__MEAN__,23.480,0.5473
__STD__,4.824,0.1100
