dataset_episode_1511, packed=30, SU=0.6600
dataset_episode_200, packed=26, SU=0.6227
dataset_episode_1898, packed=24, SU=0.6092
dataset_episode_082, packed=25, SU=0.6137
dataset_episode_092, packed=23, SU=0.6551
dataset_episode_1492, packed=24, SU=0.6541
dataset_episode_1087, packed=27, SU=0.6715
dataset_episode_1107, packed=26, SU=0.6653
dataset_episode_1673, packed=28, SU=0.6770
dataset_episode_1135, packed=27, SU=0.7039
dataset_episode_115, packed=24, SU=0.6605
dataset_episode_1157, packed=19, SU=0.6515
dataset_episode_1164, packed=21, SU=0.6372
dataset_episode_1207, packed=25, SU=0.6223
dataset_episode_1220, packed=24, SU=0.6269
dataset_episode_1265, packed=24, SU=0.6231
dataset_episode_053, packed=27, SU=0.6711
dataset_episode_1589, packed=25, SU=0.6411
dataset_episode_194, packed=22, SU=0.6983
dataset_episode_1777, packed=24, SU=0.6150
dataset_episode_1392, packed=25, SU=0.6041
dataset_episode_1406, packed=23, SU=0.6279
dataset_episode_1453, packed=24, SU=0.6292
dataset_episode_1478, packed=26, SU=0.6972
dataset_episode_1494, packed=26, SU=0.6377
dataset_episode_1506, packed=24, SU=0.6658
dataset_episode_1536, packed=19, SU=0.6626
dataset_episode_1611, packed=24, SU=0.6130
dataset_episode_1777, packed=24, SU=0.6150
dataset_episode_1983, packed=26, SU=0.6919
dataset_episode_1269, packed=24, SU=0.6439
dataset_episode_1728, packed=32, SU=0.6393
dataset_episode_1740, packed=17, SU=0.6798
dataset_episode_1064, packed=29, SU=0.7454
dataset_episode_1786, packed=24, SU=0.6343
dataset_episode_1122, packed=22, SU=0.6858
dataset_episode_143, packed=27, SU=0.6737
dataset_episode_1875, packed=26, SU=0.6609
dataset_episode_1960, packed=22, SU=0.6156
dataset_episode_1967, packed=27, SU=0.6243
dataset_episode_2016, packed=27, SU=0.6149
dataset_episode_2036, packed=24, SU=0.5875
dataset_episode_1124, packed=34, SU=0.6943
dataset_episode_065, packed=25, SU=0.6496
dataset_episode_1092, packed=22, SU=0.6169
dataset_episode_2149, packed=27, SU=0.6226
dataset_episode_2173, packed=20, SU=0.6593
dataset_episode_010, packed=24, SU=0.5906
dataset_episode_220, packed=20, SU=0.6372
dataset_episode_2113, packed=17, SU=0.7089
dataset_episode_2205, packed=24, SU=0.6750
dataset_episode_1095, packed=27, SU=0.6473
dataset_episode_2208, packed=24, SU=0.6501
dataset_episode_1549, packed=20, SU=0.6762
dataset_episode_2260, packed=27, SU=0.6917
dataset_episode_2445, packed=29, SU=0.6713
dataset_episode_2484, packed=19, SU=0.6065
dataset_episode_015, packed=26, SU=0.6216
dataset_episode_2524, packed=30, SU=0.5963
dataset_episode_2547, packed=28, SU=0.5982
dataset_episode_2599, packed=16, SU=0.6320
dataset_episode_2602, packed=31, SU=0.8382
dataset_episode_2628, packed=22, SU=0.6200
dataset_episode_1327, packed=31, SU=0.6458
dataset_episode_065, packed=25, SU=0.6496
dataset_episode_2670, packed=24, SU=0.6103
dataset_episode_1478, packed=23, SU=0.6310
dataset_episode_2769, packed=24, SU=0.6824
dataset_episode_2303, packed=20, SU=0.5897
dataset_episode_1430, packed=24, SU=0.7283
dataset_episode_2859, packed=25, SU=0.6478
dataset_episode_2897, packed=21, SU=0.6206
dataset_episode_2918, packed=21, SU=0.6588
dataset_episode_1154, packed=25, SU=0.6305
dataset_episode_304, packed=25, SU=0.7212
dataset_episode_313, packed=25, SU=0.6739
dataset_episode_383, packed=26, SU=0.7369
dataset_episode_1623, packed=24, SU=0.6186
dataset_episode_435, packed=21, SU=0.5612
dataset_episode_460, packed=27, SU=0.6678
dataset_episode_486, packed=26, SU=0.6965
dataset_episode_1991, packed=25, SU=0.6053
dataset_episode_510, packed=27, SU=0.6647
dataset_episode_198, packed=29, SU=0.6821
dataset_episode_614, packed=22, SU=0.6179
dataset_episode_634, packed=22, SU=0.6372
dataset_episode_1181, packed=25, SU=0.6225
dataset_episode_727, packed=27, SU=0.6475
dataset_episode_728, packed=28, SU=0.6456
dataset_episode_2113, packed=17, SU=0.7089
dataset_episode_091, packed=25, SU=0.6614
dataset_episode_769, packed=30, SU=0.6711
dataset_episode_781, packed=21, SU=0.6020
dataset_episode_1007, packed=27, SU=0.6263
dataset_episode_1196, packed=25, SU=0.6429
dataset_episode_006, packed=24, SU=0.6431
dataset_episode_878, packed=33, SU=0.6418
dataset_episode_888, packed=21, SU=0.7364
dataset_episode_1192, packed=25, SU=0.6946
--------------------------------------------------
